"Precinct: 30001 ","Polling Place: ",1,,,"Precinct: 30002 ","Polling Place: ",1,,,"Precinct: 30003 ","Polling Place: ",1,,
"Registered Voters: ",454,,,,"Registered Voters: ",481,,,,"Registered Voters: ",432,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,212,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,219,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,193
"WEAH, George Manneh (CDC) ",,,,131,"WEAH, George Manneh (CDC) ",,,,142,"WEAH, George Manneh (CDC) ",,,,135
,"Valid Votes: ",,,343,,"Valid Votes: ",,,361,,"Valid Votes: ",,,328
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3
,"Total Votes: ",,,344,,"Total Votes: ",,,363,,"Total Votes: ",,,331
"Precinct: 30602 ","Polling Place: ",1,,,"Precinct: 30602 ","Polling Place: ",2,,,"Precinct: 30602 ","Polling Place: ",3,,
"Christ & Selina Hooke Memorial School, Plunkor Com ",,,,,"Christ & Selina Hooke Memorial School, Plunkor Com ",,,,,"Christ & Selina Hooke Memorial School, Plunkor Com",,,,
"Registered Voters: ",466,,,,"Registered Voters: ",461,,,,"Registered Voters: ",485,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,198,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,190,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,200
"WEAH, George Manneh (CDC) ",,,,178,"WEAH, George Manneh (CDC) ",,,,161,"WEAH, George Manneh (CDC) ",,,,180
,"Valid Votes: ",,,376,,"Valid Votes: ",,,351,,"Valid Votes: ",,,380
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,2
,"Total Votes: ",,,382,,"Total Votes: ",,,353,,"Total Votes: ",,,382
"Precinct: 30603 ","Polling Place: ",1,,,"Precinct: 30603 ","Polling Place: ",2,,,"Precinct: 30603 ","Polling Place: ",3,,
"Monrovia City Hall I, Saye Tow n Community ",,,,,"Monrovia City Hall I, Saye Tow n Community ",,,,,"Monrovia City Hall I, Saye Tow n Community",,,,
"Registered Voters: ",525,,,,"Registered Voters: ",553,,,,"Registered Voters: ",510,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,255,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,262,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,217
"WEAH, George Manneh (CDC) ",,,,143,"WEAH, George Manneh (CDC) ",,,,166,"WEAH, George Manneh (CDC) ",,,,161
,"Valid Votes: ",,,398,,"Valid Votes: ",,,428,,"Valid Votes: ",,,378
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,3
,"Total Votes: ",,,400,,"Total Votes: ",,,435,,"Total Votes: ",,,381
"Precinct: 30603 ","Polling Place: ",4,,,"Precinct: 30603 ","Polling Place: ",5,,,"Precinct: 30605 ","Polling Place: ",1,,
"Monrovia City Hall I, Saye Tow n Community ",,,,,"Monrovia City Hall I, Saye Tow n Community ",,,,,"Acfi Building, 5th Street Community",,,,
"Registered Voters: ",537,,,,"Registered Voters: ",546,,,,"Registered Voters: ",390,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,237,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,264,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,180
"WEAH, George Manneh (CDC) ",,,,153,"WEAH, George Manneh (CDC) ",,,,156,"WEAH, George Manneh (CDC) ",,,,132
,"Valid Votes: ",,,390,,"Valid Votes: ",,,420,,"Valid Votes: ",,,312
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,1
,"Total Votes: ",,,396,,"Total Votes: ",,,420,,"Total Votes: ",,,313
"Precinct: 30605 ","Polling Place: ",2,,,"Precinct: 30606 ","Polling Place: ",1,,,"Precinct: 30606 ","Polling Place: ",2,,
"Acfi Building, 5th Street Community ",,,,,"Special Project School, Stephen Tolbert Estate ",,,,,"Special Project School, Stephen Tolbert Estate",,,,
"Registered Voters: ",429,,,,"Registered Voters: ",562,,,,"Registered Voters: ",580,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,199,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,279,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,273
"WEAH, George Manneh (CDC) ",,,,143,"WEAH, George Manneh (CDC) ",,,,159,"WEAH, George Manneh (CDC) ",,,,161
,"Valid Votes: ",,,342,,"Valid Votes: ",,,438,,"Valid Votes: ",,,434
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,1
,"Total Votes: ",,,342,,"Total Votes: ",,,446,,"Total Votes: ",,,435
"Precinct: 30606 ","Polling Place: ",3,,,"Precinct: 30606 ","Polling Place: ",4,,,"Precinct: 30607 ","Polling Place: ",1,,
"Special Project School, Stephen Tolbert Estate ",,,,,"Special Project School, Stephen Tolbert Estate ",,,,,"Wesleyan School , Stephen Tolbert Estate",,,,
"Registered Voters: ",546,,,,"Registered Voters: ",552,,,,"Registered Voters: ",488,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,248,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,271,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,247
"WEAH, George Manneh (CDC) ",,,,140,"WEAH, George Manneh (CDC) ",,,,156,"WEAH, George Manneh (CDC) ",,,,135
,"Valid Votes: ",,,388,,"Valid Votes: ",,,427,,"Valid Votes: ",,,382
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5
,"Total Votes: ",,,392,,"Total Votes: ",,,431,,"Total Votes: ",,,387
"Precinct: 30607 ","Polling Place: ",2,,,"Precinct: 30607 ","Polling Place: ",3,,,"Precinct: 30607 ","Polling Place: ",4,,
"Wesleyan School , Stephen Tolbert Estate ",,,,,"Wesleyan School , Stephen Tolbert Estate ",,,,,"Wesleyan School , Stephen Tolbert Estate",,,,
"Registered Voters: ",446,,,,"Registered Voters: ",512,,,,"Registered Voters: ",500,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,215,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,257,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,244
"WEAH, George Manneh (CDC) ",,,,118,"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,129
,"Valid Votes: ",,,333,,"Valid Votes: ",,,391,,"Valid Votes: ",,,373
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,10
,"Total Votes: ",,,336,,"Total Votes: ",,,397,,"Total Votes: ",,,383
"Precinct: 30607 ","Polling Place: ",5,,,"Precinct: 30608 ","Polling Place: ",1,,,"Precinct: 30608 ","Polling Place: ",2,,
"Wesleyan School , Stephen Tolbert Estate ",,,,,"Wells Hairston School Bldg , Chicken Soup Factory ",,,,,"Wells Hairston School Bldg , Chicken Soup Factory",,,,
"Registered Voters: ",493,,,,"Registered Voters: ",566,,,,"Registered Voters: ",589,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,245,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,265,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,261
"WEAH, George Manneh (CDC) ",,,,143,"WEAH, George Manneh (CDC) ",,,,131,"WEAH, George Manneh (CDC) ",,,,137
,"Valid Votes: ",,,388,,"Valid Votes: ",,,396,,"Valid Votes: ",,,398
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,15
,"Total Votes: ",,,391,,"Total Votes: ",,,399,,"Total Votes: ",,,413
"Precinct: 30608 ","Polling Place: ",3,,,"Precinct: 30608 ","Polling Place: ",4,,,"Precinct: 30609 ","Polling Place: ",1,,
"Wells Hairston School Bldg , Chicken Soup Factory ",,,,,"Wells Hairston School Bldg , Chicken Soup Factory ",,,,,"Christian David Ele. & Jr.high School, Chicken Soup F",,,,
"Registered Voters: ",547,,,,"Registered Voters: ",604,,,,"Registered Voters: ",428,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,234,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,254,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,192
"WEAH, George Manneh (CDC) ",,,,148,"WEAH, George Manneh (CDC) ",,,,155,"WEAH, George Manneh (CDC) ",,,,115
,"Valid Votes: ",,,382,,"Valid Votes: ",,,409,,"Valid Votes: ",,,307
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,7
,"Total Votes: ",,,384,,"Total Votes: ",,,412,,"Total Votes: ",,,314
"Precinct: 30609 ","Polling Place: ",2,,,"Precinct: 30609 ","Polling Place: ",3,,,"Precinct: 30610 ","Polling Place: ",1,,
"Christian David Ele. & Jr.high School, Chicken Soup F ",,,,,"Christian David Ele. & Jr.high School, Chicken Soup F ",,,,,"Agm School, Chicken Soup Factory",,,,
"Registered Voters: ",429,,,,"Registered Voters: ",418,,,,"Registered Voters: ",516,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,197,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,163,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,230
"WEAH, George Manneh (CDC) ",,,,123,"WEAH, George Manneh (CDC) ",,,,154,"WEAH, George Manneh (CDC) ",,,,156
,"Valid Votes: ",,,320,,"Valid Votes: ",,,317,,"Valid Votes: ",,,386
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,6
,"Total Votes: ",,,324,,"Total Votes: ",,,322,,"Total Votes: ",,,392
"Precinct: 30610 ","Polling Place: ",2,,,"Precinct: 30610 ","Polling Place: ",3,,,"Precinct: 30610 ","Polling Place: ",4,,
"Agm School, Chicken Soup Factory ",,,,,"Agm School, Chicken Soup Factory ",,,,,"Agm School, Chicken Soup Factory",,,,
"Registered Voters: ",468,,,,"Registered Voters: ",487,,,,"Registered Voters: ",524,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,224,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,242,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,247
"WEAH, George Manneh (CDC) ",,,,133,"WEAH, George Manneh (CDC) ",,,,128,"WEAH, George Manneh (CDC) ",,,,136
,"Valid Votes: ",,,357,,"Valid Votes: ",,,370,,"Valid Votes: ",,,383
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,7
,"Total Votes: ",,,361,,"Total Votes: ",,,375,,"Total Votes: ",,,390
"Precinct: 30611 ","Polling Place: ",1,,,"Precinct: 30611 ","Polling Place: ",2,,,"Precinct: 30611 ","Polling Place: ",3,,
"St. Magaret School , M.t.a. Tow n ",,,,,"St. Magaret School , M.t.a. Tow n ",,,,,"St. Magaret School , M.t.a. Tow n",,,,
"Registered Voters: ",566,,,,"Registered Voters: ",553,,,,"Registered Voters: ",549,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,198,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,199
"WEAH, George Manneh (CDC) ",,,,211,"WEAH, George Manneh (CDC) ",,,,190,"WEAH, George Manneh (CDC) ",,,,173
,"Valid Votes: ",,,415,,"Valid Votes: ",,,388,,"Valid Votes: ",,,372
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,18,,"Invalid Votes: ",,,10
,"Total Votes: ",,,424,,"Total Votes: ",,,406,,"Total Votes: ",,,382
"Precinct: 30611 ","Polling Place: ",4,,,"Precinct: 30612 ","Polling Place: ",1,,,"Precinct: 30612 ","Polling Place: ",2,,
"St. Magaret School , M.t.a. Tow n ",,,,,"Vicnipojim (sis.angie's School), L.p.r.c. Community ",,,,,"Vicnipojim (sis.angie's School), L.p.r.c. Community",,,,
"Registered Voters: ",573,,,,"Registered Voters: ",563,,,,"Registered Voters: ",553,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,196,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,135,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,128
"WEAH, George Manneh (CDC) ",,,,213,"WEAH, George Manneh (CDC) ",,,,231,"WEAH, George Manneh (CDC) ",,,,225
,"Valid Votes: ",,,409,,"Valid Votes: ",,,366,,"Valid Votes: ",,,353
,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,8
,"Total Votes: ",,,423,,"Total Votes: ",,,372,,"Total Votes: ",,,361
"Precinct: 30612 ","Polling Place: ",3,,,"Precinct: 30613 ","Polling Place: ",1,,,"Precinct: 30613 ","Polling Place: ",2,,
"Vicnipojim (sis.angie's School), L.p.r.c. Community ",,,,,"Richard Hunter School I, L.p.r.c. Community ",,,,,"Richard Hunter School I, L.p.r.c. Community",,,,
"Registered Voters: ",524,,,,"Registered Voters: ",590,,,,"Registered Voters: ",551,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,128,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,203,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,159
"WEAH, George Manneh (CDC) ",,,,186,"WEAH, George Manneh (CDC) ",,,,212,"WEAH, George Manneh (CDC) ",,,,218
,"Valid Votes: ",,,314,,"Valid Votes: ",,,415,,"Valid Votes: ",,,377
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,7
,"Total Votes: ",,,321,,"Total Votes: ",,,420,,"Total Votes: ",,,384
"Precinct: 30613 ","Polling Place: ",3,,,"Precinct: 30614 ","Polling Place: ",1,,,"Precinct: 30614 ","Polling Place: ",2,,
"Richard Hunter School I, L.p.r.c. Community ",,,,,"Henry Taylor Institute , Shoe Factory Community ",,,,,"Henry Taylor Institute , Shoe Factory Community",,,,
"Registered Voters: ",570,,,,"Registered Voters: ",527,,,,"Registered Voters: ",538,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,193,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,184,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,178
"WEAH, George Manneh (CDC) ",,,,195,"WEAH, George Manneh (CDC) ",,,,200,"WEAH, George Manneh (CDC) ",,,,205
,"Valid Votes: ",,,388,,"Valid Votes: ",,,384,,"Valid Votes: ",,,383
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,13
,"Total Votes: ",,,396,,"Total Votes: ",,,392,,"Total Votes: ",,,396
"Precinct: 30614 ","Polling Place: ",3,,,"Precinct: 30615 ","Polling Place: ",1,,,"Precinct: 30615 ","Polling Place: ",2,,
"Henry Taylor Institute , Shoe Factory Community ",,,,,"Richard Hunter School Ii, Shoe Factory Community ",,,,,"Richard Hunter School Ii, Shoe Factory Community",,,,
"Registered Voters: ",528,,,,"Registered Voters: ",503,,,,"Registered Voters: ",516,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,185,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,160,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,161
"WEAH, George Manneh (CDC) ",,,,204,"WEAH, George Manneh (CDC) ",,,,203,"WEAH, George Manneh (CDC) ",,,,183
,"Valid Votes: ",,,389,,"Valid Votes: ",,,363,,"Valid Votes: ",,,344
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,4
,"Total Votes: ",,,393,,"Total Votes: ",,,368,,"Total Votes: ",,,348
"Precinct: 30615 ","Polling Place: ",3,,,"Precinct: 30616 ","Polling Place: ",1,,,"Precinct: 30616 ","Polling Place: ",2,,
"Richard Hunter School Ii, Shoe Factory Community ",,,,,"Star International Academy, Kesselley Bldg. ",,,,,"Star International Academy, Kesselley Bldg.",,,,
"Registered Voters: ",504,,,,"Registered Voters: ",501,,,,"Registered Voters: ",481,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,150,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,224,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,192
"WEAH, George Manneh (CDC) ",,,,198,"WEAH, George Manneh (CDC) ",,,,173,"WEAH, George Manneh (CDC) ",,,,177
,"Valid Votes: ",,,348,,"Valid Votes: ",,,397,,"Valid Votes: ",,,369
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,8
,"Total Votes: ",,,356,,"Total Votes: ",,,401,,"Total Votes: ",,,377
"Precinct: 30616 ","Polling Place: ",3,,,"Precinct: 30616 ","Polling Place: ",4,,,"Precinct: 30617 ","Polling Place: ",1,,
"Star International Academy, Kesselley Bldg. ",,,,,"Star International Academy, Kesselley Bldg. ",,,,,"Gardnersville Tow n Hall , Bardnersville Road Comm.",,,,
"Registered Voters: ",516,,,,"Registered Voters: ",523,,,,"Registered Voters: ",633,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,202,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,200,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,261
"WEAH, George Manneh (CDC) ",,,,171,"WEAH, George Manneh (CDC) ",,,,204,"WEAH, George Manneh (CDC) ",,,,225
,"Valid Votes: ",,,373,,"Valid Votes: ",,,404,,"Valid Votes: ",,,486
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,9
,"Total Votes: ",,,378,,"Total Votes: ",,,409,,"Total Votes: ",,,495
"Precinct: 30617 ","Polling Place: ",2,,,"Precinct: 30617 ","Polling Place: ",3,,,"Precinct: 30617 ","Polling Place: ",4,,
"Gardnersville Tow n Hall , Bardnersville Road Comm. ",,,,,"Gardnersville Tow n Hall , Bardnersville Road Comm. ",,,,,"Gardnersville Tow n Hall , Bardnersville Road Comm.",,,,
"Registered Voters: ",608,,,,"Registered Voters: ",563,,,,"Registered Voters: ",588,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,261,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,250,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,234
"WEAH, George Manneh (CDC) ",,,,198,"WEAH, George Manneh (CDC) ",,,,192,"WEAH, George Manneh (CDC) ",,,,208
,"Valid Votes: ",,,459,,"Valid Votes: ",,,442,,"Valid Votes: ",,,442
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,15
,"Total Votes: ",,,461,,"Total Votes: ",,,455,,"Total Votes: ",,,457
"Precinct: 30617 ","Polling Place: ",5,,,"Precinct: 30618 ","Polling Place: ",1,,,"Precinct: 30618 ","Polling Place: ",2,,
"Gardnersville Tow n Hall , Bardnersville Road Comm. ",,,,,"J&m Academy School , Daybreak Mouth ",,,,,"J&m Academy School , Daybreak Mouth",,,,
"Registered Voters: ",592,,,,"Registered Voters: ",575,,,,"Registered Voters: ",566,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,246,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,207,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,229
"WEAH, George Manneh (CDC) ",,,,217,"WEAH, George Manneh (CDC) ",,,,197,"WEAH, George Manneh (CDC) ",,,,195
,"Valid Votes: ",,,463,,"Valid Votes: ",,,404,,"Valid Votes: ",,,424
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,8
,"Total Votes: ",,,469,,"Total Votes: ",,,419,,"Total Votes: ",,,432
"Precinct: 30618 ","Polling Place: ",3,,,"Precinct: 30619 ","Polling Place: ",1,,,"Precinct: 30619 ","Polling Place: ",2,,
"J&m Academy School , Daybreak Mouth ",,,,,"St.philip School, Snow  Hill ",,,,,"St.philip School, Snow  Hill",,,,
"Registered Voters: ",588,,,,"Registered Voters: ",466,,,,"Registered Voters: ",499,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,229,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,176,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,168
"WEAH, George Manneh (CDC) ",,,,210,"WEAH, George Manneh (CDC) ",,,,178,"WEAH, George Manneh (CDC) ",,,,186
,"Valid Votes: ",,,439,,"Valid Votes: ",,,354,,"Valid Votes: ",,,354
,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,1
,"Total Votes: ",,,452,,"Total Votes: ",,,362,,"Total Votes: ",,,355
"Precinct: 30619 ","Polling Place: ",3,,,"Precinct: 30619 ","Polling Place: ",4,,,"Precinct: 30619 ","Polling Place: ",5,,
"St.philip School, Snow  Hill ",,,,,"St.philip School, Snow  Hill ",,,,,"St.philip School, Snow  Hill",,,,
"Registered Voters: ",518,,,,"Registered Voters: ",510,,,,"Registered Voters: ",530,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,181,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,169,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,185
"WEAH, George Manneh (CDC) ",,,,177,"WEAH, George Manneh (CDC) ",,,,204,"WEAH, George Manneh (CDC) ",,,,196
,"Valid Votes: ",,,358,,"Valid Votes: ",,,373,,"Valid Votes: ",,,381
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,8
,"Total Votes: ",,,363,,"Total Votes: ",,,386,,"Total Votes: ",,,389
"Precinct: 30619 ","Polling Place: ",6,,,"Precinct: 30620 ","Polling Place: ",1,,,"Precinct: 30620 ","Polling Place: ",2,,
"St.philip School, Snow  Hill ",,,,,"Dennis Foundation School, Nyanfor Tow n ",,,,,"Dennis Foundation School, Nyanfor Tow n",,,,
"Registered Voters: ",490,,,,"Registered Voters: ",515,,,,"Registered Voters: ",512,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,179,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,227,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,218
"WEAH, George Manneh (CDC) ",,,,176,"WEAH, George Manneh (CDC) ",,,,184,"WEAH, George Manneh (CDC) ",,,,165
,"Valid Votes: ",,,355,,"Valid Votes: ",,,411,,"Valid Votes: ",,,383
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,18
,"Total Votes: ",,,359,,"Total Votes: ",,,417,,"Total Votes: ",,,401
"Precinct: 30620 ","Polling Place: ",3,,,"Precinct: 30620 ","Polling Place: ",4,,,"Precinct: 30621 ","Polling Place: ",1,,
"Dennis Foundation School, Nyanfor Tow n ",,,,,"Dennis Foundation School, Nyanfor Tow n ",,,,,"Jimmy Jolocon School, Supermarket Community",,,,
"Registered Voters: ",487,,,,"Registered Voters: ",489,,,,"Registered Voters: ",551,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,227,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,212
