"Voting ",,,,,"General "
30004,"Steve-Ernest Memorial Christian Academy ","Barchue Town ",,458,1
30024,"Faith Foundation ","Catholic Hospital ",,1565,4
30025,"JHP Hope Academy ","Catholic Hospital ",,1235,3
30060,"Greater Works Academy ","Chugbor ",,1945,4
30061,"Better Future Christian Institute ","Chugbor ",,1556,4
30062,"R.C. Lawson Institute ","Congo Town ",,1786,4
30063,"Joe B. Tate School ","Congo Town ",,1259,3
30064,"Susan Berry School ","Congo Town ",,1936,4
30065,"Wells-Hairston School ","VP Road ",,1048,3
30066,"Open Bible school ","Congo Town Old Road ",,674,2
30067,"Open Bible school ","Congo Town Old Road ",,739,2
30077,"A.G.M. School Building ","Divine - Togba Camp ",,921,2
30078,"Namuwa English & Arabic School ","Divine - Togba Camp ",,1783,4
30133,"Gaye Town Public School ","Gaye Town Community ",,1841,4
30134,"St. Andrew Lutheran School ","Gaye Town Community ",,1922,4
30173,"Bethlehem Baptist School ","Key and Death Hole ",,719,2
30174,"People Institute Building ","Key and Death Hole ",,1064,3
30233,"Nippay Town Public School ","Nippay Town ",,1384,3
30241,"Fofana Islamic School ","Oldest Congo Town ",,743,2
30242,"Mason Center School ","Oldest Congo Town ",,2049,5
30251,"Peace Island Community School ","Peace Island, Congo Town ",,2032,5
30252,"Deolakeh Memorial Elem. & Jr. High School ","Peace Island, Congo Town ",,1564,4
30291,"Ford Madden Christian Academy ","Smythe Road ",,1801,4
30292,"Guildford George Tompkins Jr.& Sr. High schooSmythe Road ",,,1098,3
30304,"Rebecca J. Wilson Elem. School ","Tarr Town, Old Road ",,1368,3
30305,"Bethel Temple African Glory Pentacostal ChurcTarr Town, Old Road ",,,978,2
30306,"Amalca Cabral Estate Palava Hut ","Amalca Cabral Estate, Old Road ",,2425,5
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 11 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30006,"E. Jonathan Goodridge School ",,"Barnersville Estate ",2394,5
30007,"E. Jonathan Goodridge School ",,"Barnersville Estate ",2730,6
30008,"Gardnersville Town Hall ",,"Barnersville Road ",2094,5
30009,"Step of Faith Academy ",," Patience Shop Barnersville Road ",1320,3
30013,"Bardnersville Community Institute ",,"Behwein Community, Bardnersville ",1127,3
30014,"Shirley Kolmer Catholic School ",,"Behwein Community, Bardnersville ",1589,4
30023,"Caldwell Market ",,"Caldwell Market ",3110,7
30073,"Bardnesville Public School ",,"Behind the Town Hall, Dabwe Town, Bardnesvill ",1552,5
30074,"(J & M) Jerbo & Martha Jr. High School ",,"Day Break Mouth Open ",1879,4
30079,"Dixville Public School ",,"Dixville A ",970,2
30090,"Grace Baptist Church School ",,"Duan Town ",2484,5
30144,"Lombardia International School System ",,"Grass Field ",1045,3
30145,"Lombardia International School System ",,"Grass Field ",958,2
30154,"Duja School ",,"J.E. Marshall ",1213,3
30155,"Jimmy Jolocon School ",,"Supermarket Community ",2552,6
30158,"Seku Ibrahim Sheriff Elem. & Jr. High School ",,"J.J.Y. - Snow Hill ",1815,4
30168,"Bardnersville Town Hall ",,"Kaba Town ",1815,4
30169,"New Life Christian Academy ",,"Kaba Town ",2691,6
30269,"Samukal Community Center ",,"Samukai Town, Caldwell ",1228,3
30326,"E.T.M.I School ",,"Upper Caldwell ",1124,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 12 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
30010,"West African Christian Institute ","Opp. Stephen Tolbert Estate, River View ",,728,2
30051,"Wells-Hairston School ","Chicken Soup Factory ",,2659,6
30052,"Wells-Hairston School ","Chicken Soup Factory ",,1866,4
30053,"A.G.M. School ","Chicken Soup Factory ",,1523,4
30054,"Christain David Elem & Jr. High School ","Chicken Soup Factory ",,955,2
30055,"Free Penticostal Global Mission Church ","Opp. the market/ Chicken Soup Factory ",,1810,4
30157,"St. Philip School ","Snow Hill ",,2765,6
30159,"James Tue High School ","J.J.Y. - Snow Hill ",,1319,3
30164,"Emmanuel Community Polytechnic Jr. & Sr. SchDry Rice Market Community, Johnsonville Road ",,,1713,3
30165,"Emmanuel Community Polytechnic Jr. & Sr. SchDry Rice Market Community, Johnsonville Road ",,,1488,3
30166,"Euphemia Abdullia Primary Public School ","Karduma Community, Johnsonville Road B ",,809,2
30167,"Euphemia Abdullia Primary Public School ","Karduma Community, Johnsonville Road B ",,873,2
30171,"Star International Academy ","Kesselly Boulevard ",,1608,4
30172,"Wisdom Home Heritage Elem. School ","Kesselly Boulevard ",,1010,3
30216,"St. Magarette School System ","MTA ",,1740,4
30217,"Liberia Christian Community College ","MTA ",,2683,6
30264,"OPHANAGE/WACI ","Opp. Stephen Tolbert Estate, River View ",,653,2
30265,"Maranatha A.G.M School ","Opp. Stephen Tolbert Estate, River View ",,1138,3
30281,"Picoli Preparatory School ","Shoe Factory ",,1977,4
30282,"Richand Hunter Elem & Jr.High School ","LPRC Road, Shoe Factory ",,2495,6
30294,"Special Project School ","Stephen Tolbert Estate ",,1790,4
30295,"Wesleyan School ","Stephen Tolbert Estate ",,1763,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 13 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
30012,"Mother Kebbeh's Academy ","Battery Factory ",,905,2
30056,"Allen Bryant School ","Chocolate City A ",,1356,3
30057,"Allen Bryant School ","Chocolate City A ",,1267,3
30058,"Deaf Ministry INC/ Elizabeth Silem School of H  Chocolate City B ",,,1072,3
30059,"Elizabeth Blunt Elem & Jr. High School "," Chocolate City B ",,948,2
30118,"Flahn Town Community School ","Flahn Town/Opp. Topoe Village ",,1099,3
30130,"R & R Central ","Free Port Community ",,1941,4
30131,"R & R Central ","Free Port Community ",,1927,4
30146,"Kula Memorial Academy ","Grass Field ",,1627,4
30152,"Freeway Baptish School ","Iron Factory ",,783,2
30153,"Freeway Baptish School ","Iron Factory ",,983,2
30156,"St. Michael's Catholic School ","Supermarket Community ",,2698,6
30161,"Trumpet of Faith School ","Jamaica Road ",,1041,3
30209,"St. James Episcopal Church ","Mangrove Island ",,694,2
30218,"St. Michael Catholic High School ","New Georgia Road ",,1888,4
30219,"St. Michael Catholic High School ","New Georgia Road ",,1683,4
30220,"Christiana Comfort Bedell Preparatory School ","New Georgia Estate ",,2066,5
30221,"William Gabriel Kpolleh Memorial High School New Georgia Estate ",,,3302,7
30222,"Jennie Prepartory School ","New Georgia Estate ",,2156,5
30237,"Kula Memorial Academy ","Grass Field ",,2047,5
30238,"Grace A.G.M School ","Old Field Gulf/Sign Board ",,1388,3
30239,"Grace A.G.M. School ","Old Field Gulf/Sign Board ",,1050,3
30293,"Freeway Baptist School ","Iron Factory ",,986,2
30296,"New Life School ","Opp. Plank Field, Battery Factory ",,1772,4
30314,"Salvation & Deliverance Christ Academy ","Topoe Village ",,1903,4
30315,"Henri W. Dennis Methodist School ","Topoe Village ",,1578,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 14 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30030,"Central Clara Town Hut ",,"Central Clara Town I ",2057,5
30031,"Central Clara Town Hut ",,"Central Clara Town I ",2020,5
30032,"Fanina Isaac School ",,"Central Clara Town I ",1651,4
30033,"Clara Town Central High School ",,"Central Clara Town II ",1081,3
30034,"Clara Town Central High School ",,"Central Clara Town II ",902,2
30035,"James Doe Young School ",,"Central Clara Town II ",2152,5
30068,"Mac Foundation School ",,"Cow Factory ",1481,3
30069,"Mac Foundation School ",,"Cow Factory ",1370,3
30139,"Savaco Community School ",,"Giblata/ VIA Town ",2268,5
30150,"Royal Foundation School ",,"Hope Community/ Clara Town ",814,2
30151,"Royal Foundation School ",,"Hope Community / Clara Town ",999,2
30249,"Paity Town Gas Station ",,"Paity Town/ Clara Town ",696,2
30250,"Paity Town Gas Station ",,"Paity Town / Clara Town ",715,2
30253,"Ophelia Hoff Saytuman School ",,"Peugeot Garage, Clara Town ",1120,3
30254,"Timosa Elementary School ",,"Patco Yard, Freeport ",2251,5
30266,"Marvia Sonu Elem. School ",,"River View, Clara Town ",1058,3
30267,"Marvia Sonu Elem. School ",,"River View, Clara Town ",1097,3
30268,"Marvia Sonu Elem. School ",,"River View, Clara Town ",978,2
30297,"Maude Popla Memorial School ",,"Struggle Community ",2428,5
30298,"S.K.D. Community Elem. School ",,"Struggle Community ",1533,4
30299,"S.K.D. Community Elem. School ",,"Struggle Community ",1546,4
30300,"Busroad Memorial Institute ",,"Struggle Community ",1229,3
30301,"Busroad Memorial Institute ",,"Struggle Community ",950,3
30337,"Vai Town Market Block Factory ",,"Vai Town A ",2735,6
30338,"Imam Adullah Tunis School ",,"Vai Town B ",1374,3
30339,"Imam Adullah Tunis School ",,"Vai Town B ",1313,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 15 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30015,"Blamo Town Palava Hut ",,"Blamo Town, Logan Town ",1331,3
30016,"Bong Mines Bridge Lutheran School ",,"Bong Mines Bridge ",507,2
30017,"Bong Mines Bridge Lutheran School ",,"Bong Mines Bridge ",492,1
30018,"King Peter Town School ",,"Bong Mines Bridge ",691,2
30019,"King Peter Town School ",,"Bong Mines Bridge ",642,2
30020,"Caldwell New Georgia Public School ",,"Caldwell Water Side ",1443,3
30021,"Sims Community School ",,"Caldwell Community ",2790,6
30027,"Marantha Baptist School ",,"Central Caldwell ",3707,8
30037,"St. Matthew United Medothist School ",,"Central Logan Town ",1140,3
30038,"St. Matthew United Medothist School ",,"Central Logan Town ",1137,3
30039,"Life Terbanacle Int'l. School ",,"Central Logan Town ",1173,3
30040,"Central Logan Town Market ",,"Central Logan Town ",1276,3
30041,"Central Logan Town Market ",,"Central Logan Town ",882,2
30132,"Logan Town New Testament Academy ",,"Zinc Camp, Logan Town ",1009,3
30135,"Samuel T. Kun School ",,"Gbandi Town/Logan Town ",1366,3
30136,"Samuel T. Kun School ",,"Gbandi Town /Logan Town ",1255,3
30160,"Isaac G. McCauley School ",,"Jamaica Road ",1349,3
30162,"Boatswain Jr. High School ",,"Jamaica Road ",987,3
30163,"Boatswain Jr. High School ",,"Jamaica Road ",964,2
30175,"Kabedu Bessi School ",,"King Peter Town ",722,2
30176,"Kabedu Bessi School ",,"King Peter Town ",698,2
30186,"Donald N. K. Karanas ",,"Little White Chapel ",1585,4
30187,"Wesleyan Church ",,"Little White Chapel ",1016,3
30188,"Myrae E. Simpson Communty School ",,"Little White Chapel ",2274,5
30327,"Angeline W. Allison School ",,"Upper Caldwell ",2355,5
30437,"Joanna Antor Elem. School ",,"Zinc Camp / Logan Town ",940,2
30438,"Joanna Antor Elem. School ",,"Zinc Camp / Logan Town ",953,2
30439,"St. Edward Catholic School ",,"Central Logan Town ",975,2
30440,"St. Edward Catholic School ",,"Central Logan Town ",1019,3
30441,"St. Edward Catholic School ",,"Central Logan Town ",645,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 16 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30022,"Wesleyan Academy ",,"Caldwell Community ",1007,3
30042,"New Kru Town Adm. Building ",,"Central New Kru Town ",2590,6
30043,"Tomorrow Children Int'l ",,"Central New Kru Town ",1747,4
30044,"Tomorrow Children Int'l ",,"Central New Kru Town ",1582,4
30045,"Greater Vision School ",,"Central New Kru Town ",1640,4
30070,"Mark Richard Jr. High School ",,"Crab Hole, St. Paul Bridge ",1165,3
30071,"Mark Richard Jr. High School ",,"Crab Hole, St. Paul Bridge ",1279,3
30080,"Samuel Slewon Doe Institute ",,"Duala Market ",1356,3
30081,"Victor Molu Institue ",,"Duala Market ",1805,4
30082,"St. Mary High School ",,"Duala Market ",2064,5
30083,"St. Mary High School ",,"Duala Market ",1901,4
30084,"Diana E.Davis High School ",,"Duala Mombo Town - West ",464,1
30085,"Diana E.Davis High School ",,"Duala Mombo Town - West ",598,2
30086,"A.G.M. School ",,"Duala Mombo Town - East ",503,2
30087,"A.G.M. School ",,"Duala Mombo Town - East ",894,2
30088,"God is Our Light School ",,"Duala Mombo Town - East ",812,2
30089,"God is Our Light School ",,"Duala Mombo Town - East ",887,2
30181,"St. Thomas Elem. School ",,"Lagoon East/ New Kru Town ",964,2
30182,"New kru Town AG School ",,"Lagoon East / New Kru Town ",727,2
30183,"Momboe Town Community School ",,"Lagoon East / New Kru Town ",576,2
30184,"New Kru Town Jr. High School ",,"Lagoon West / New Kru Town ",431,1
30185,"New Kru Town Jr. High School ",,"Lagoon West / New Kru Town ",542,2
30211,"NKT Elem. & Jr. High School ",,"Monboe Town West/New Kru Town ",1106,3
30212,"NKT Elem. & Jr. High School ",,"Monboe Town West/New Kru Town ",965,2
30234,"D. Tweh High School ",,"Nyuan Town/New Kru Town ",1080,3
30235,"D. Tweh High School ",,"Nyuan Town/New Kru Town ",1095,3
30236,"D. Tweh High School ",,"Nyuan Town /New Kru Town ",1034,3
30255,"New Era School ",,"Point Four Community ",694,2
30256,"New Era School ",,"Point Four Community ",1341,2
30259,"Bishop Nah Dixon School ",,"Popo Beach A/ New Kru Town ",1549,4
30260,"Bishop Nah Dixon School ",,"Popo Beach A / New Kru Town ",1262,3
30261,"Barclay Nyenfueh School ",,"Popo Beach B / New Kru Town ",1086,3
30316,"St. Paul Bridge Elem. School ",,"Tweh Farm ",1077,3
30317,"St. Paul Bridge Elem. School ",,"Tweh Farm ",600,2
30318,"Rev. Johnson W. T. Foundation School ",,"LMC Compound/ St. Paul Bridge ",1676,4
30340,"Triump of God International School ",,"Vicky Spot /Logan Town ",264,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 17 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30001,"Blahn Public School ",,"Blahn Town/ Royesville ",239,1
30005,"Komah Public School ",,"Kimba/Clay Ashland ",344,1
30011,"W.D. Coleman High School ",,"Central Clay Ashland ",664,2
30026,"Central Arthington Palava Hut ",,"Cross Road, Central Arthington ",624,2
30046,"Royesville Public School ",,"Royesville ",390,1
30075,"Neekon Public School ",,"Neekon/ Arthington ",334,1
30076,"Samie Public School ",,"Samie/ Arthington ",381,1
30137,"Jallabah Public school ",,"Jawajeh/ Arthington ",696,2
30198,"Sarah Barclay Public School ",,"Zaye Town/ Virgina ",2828,6
30199,"Virginia Christian Academy ",,"Hote Africa Road / Virgina ",1477,3
30200,"Banjor Public School Center ",,"Banjor Old Road / Virgina ",2550,6
30201,"Virginia Public School ",,"Central Virginia / Virgina ",806,2
30202,"Banjor United Community Center ",,"Jartu Town / Virgina ",1612,4
30203,"Pamela Kay Elem.& Jr. High School ",,"Red Hill Community / Virgina ",2972,6
30204,"Mango Town Clinic ",,"Mango Town / Virgina ",969,2
30205,"Gbarteah Palava Hut ",,"Gbarteah Town / Virgina ",1123,3
30206,"Goyee Jr. High School ",,"Kai Town / Virgina ",500,1
30207,"FAWE School of Excellence ",,"Red Hill / Virgina ",1351,3
30208,"Bamboo Town Public School ",,"Bamboo Town Community / Virgina ",319,1
30210,"Millsburg Community Center ",,"Central Millsburg ",282,1
30302,"Pingi Town Arabic School ",,"Pingie/ Clay Ashland ",380,1
30336,"Gbondoi Public School ",,"Gbondol/ Upper Virginia ",179,1
30341,"Wesleyan School ",,"Chase Town/ Brewerville ",384,1
30342,"Zunnah Town Public School ",,"Moulton Corner / Brewerville ",127,1
30343,"A.G.M. Bible College ",,"AG Bible College Community / Brewerville ",1597,4
30344,"Madison Public School ",,"Parker Corner / Brewerville ",1615,4
30345,"Isaac Tondo Public School ",,"Jah Tondo / Brewerville ",992,2
30346,"Old Triump Church Mission School ",,"Central Brewerville ",1630,4
30356,"Kpallah Public School ",,"Kpallah Town / Brewerville ",2483,5
30357,"Atherin School ",,"Wilson Corner / Brewerville ",1330,3
30358,"Bamasee Public School ",,"Blamasee / Brewerville ",1550,4
30365,"Ricks Institute ",,"Ricks Institute / Brewerville ",688,2
30366,"Billey Town Public school ",,"Billey Town / Brewerville ",937,2
30367,"Cheesemanburg Elem. & Jr. High School ",,"Quenyondee/ Cheesemanburg ",418,1
30377,"Lott Carey Mission School ",,"Lott Carey / Brewerville ",2763,6
30391,"Kubono Public School ",,"Kubono / Brewerville ",409,1
30418,"Sawegbeh Public School ",,"Sawegbeh / Brewerville ",257,1
30419,"Kperkor Public School ",,"Kperkor / Brewerville ",305,1
30420,"Gandema Public School ",,"Gandema / Brewerville ",282,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ","ELECTORAL DISTRICT : 1 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
33032,"Pledehyee Public School ","Pledehyee ",,333,1
33069,"Gbloyee United Methodist School ","Ganta ",,2173,5
33071,"Small Ganta Palava Hut ","Ganta ",,955,2
33072,"J.W. Pearlson School ","Ganta ",,1996,5
33073,"YMCA High School ","Ganta ",,2233,5
33074,"Yini High School ","Ganta ",,1752,4
33075,"Messiah Christian Academy ","Ganta ",,2347,5
33076,"Geolando Public School ","Ganta ",,3117,7
33077,"Vision International School ","Ganta ",,2008,5
33078,"Foundation Academic Day Care & Elem School Ganta ",,,1547,4
33079,"Gbartu Quarter Palava Hut ","Ganta ",,2884,6
33080,"Liberty Christian Institute ","Ganta ",,1704,4
33081,"Ganta Rehab Palava Hut ","Ganta ",,782,2
33132,"George Dumber School ","Nengben ",,1199,3
33188,"Yelekoryee Public School ","Yelekoryee ",,280,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33017,"Boaplay Public School ",,"Boaplay ",586,2
33018,"Duo Boe Public School ",,"Duo Boe ",584,2
33022,"Borsonnoh Public School ",,"Borsonnoh ",1031,3
33028,"Tondin Public School ",,"Tondin ",623,2
33029,"Dingamon Public School ",,"Dingamon ",1571,4
33040,"Zuluyee Public School ",,"Zuluyee ",666,2
33041,"Gbedin Public School ",,"Gbedin Camp #3 ",1282,3
33052,"Gbayee Public School ",,"Gbayee ",282,1
33053,"Duo Gbeah Public School ",,"Duo Gbeah ",943,2
33056,"Gbeinfeela Public School ",,"Gbeinfela ",422,1
33062,"Gboa Gbalasonnoh Public School ",,"Gboa Gbalasonnoh ",968,2
33063,"Davoryee Public School ",,"Davoryee ",734,2
33070,"Gbeisella Public School ",,"Ganta ",903,2
33089,"Kpayelepula Public School ",,"Kpayelepula ",742,2
33100,"Tiapa Public School ",,"Tiapa ",665,2
33124,"Mao Public School ",,"Mao ",754,2
33128,"Mongbain Public School ",,"Mongbain ",950,2
33145,"Martha Tubman Elementary School ",,"Sanniquellie ",1664,4
33146,"Shirley Memorial High School ",,"Sanniquellie ",1012,3
33147,"Dahnlorpa Community School ",,"Sanniquellie ",827,2
33148,"Bunah Suah's Compound ",,"Sanniquellie ",2096,5
33149,"St. Mary Elementary School ",,"Sanniquellie ",1598,4
33154,"Sehyi Kmpa Public School ",,"Sehyi Kimpa ",1031,3
33155,"Suakarzue Public School ",,"Suakarzue ",664,2
33156,"Sopea Public School ",,"Sopea ",590,2
33167,"Duo Tiayee Public School ",,"Duo Tiayee ",787,2
33169,"Kitoma Public School ",,"Kitoma ",589,2
33182,"Busie Public School ",,"Busie ",952,2
33183,"Lehgain Public School ",,"Lehgain ",386,1
33185,"Duo Gorton Public School ",,"Duo Gorton ",669,2
33203,"Zolowee Public School ",,"Zolowee ",1088,3
33204,"Sehyi-Geh Baptist Compound ",,"Sehyi-Geh ",718,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33012,"Beintonwin Public School ",,"Beintonwin ",742,2
33021,"Bonla Public School ",,"Bonla ",699,2
33035,"Duoplay Public School ",,"Duoplay ",1946,4
33047,"Gbapa Public School ",,"Gbapa ",1394,3
33057,"Gbeleyee Public School ",,"Gbeleyee ",703,2
33064,"Gbondin Public School ",,"Gbondin ",1094,3
33091,"Guagortuo Public School ",,"Guagortuo ",1501,4
33097,"Karnplay City Mayor Office ",,"Karnplay ",1012,3
33098,"Karn High School ",,"Karnplay ",1285,3
33099,"Karnplay Market ",,"Karnplay ",2125,5
33103,"Kenlay # 1 Public School ",,"Kenlay # 1 ",598,2
33116,"Larpea # 1 Public School ",,"Larpea # 1 ",1151,3
33118,"Manbor Public School ",,"Manbor ",1050,3
33121,"Lugbeyee Public School ",,"Lugbeyee ",1088,3
33133,"Old Yekepa LASS High School ",,"Old Yekepa ",864,2
33134,"Old Yekepa VTC ",,"Old Yekepa ",663,2
33135,"Old Yekepa Area P Market ",,"Old Yekepa ",1403,3
33136,"New Yekepa Public School ",,"New Yekepa ",764,2
33137,"Earl Williams High School ",,"Old Yekepa ",1000,3
33164,"Randy Godfray Jr. High School ",,"Camp 4 ",532,2
33187,"Yeaplay Pub. School ",,"Yeaplay ",801,2
33189,"Younlay Public School ",,"Younlay ",1448,3
33194,"Loguatuo Public School ",,"Loguatuo ",1308,3
33206,"Zorgowee Public School ",,"Zorgowee ",1850,4
33207,"Zualay Public School ",,"Zualay ",1174,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 4 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33006,"Baylehglay Public School ",,"Baylehglay ",1475,3
33010,"Behplay Public School ",,"Behplay ",859,2
33019,"Bongarplay Public School ",,"Bongarplay ",1688,4
33026,"Dehvon Public School ",,"Dehvon ",524,2
33033,"Yoolar Public School ",,"Sroh - Yoolar ",1110,3
33042,"Garplay Public School ",,"Garplay ",1694,4
33054,"Gbei Bonnah Public School ",,"Gbei Bonnah ",982,2
33055,"Gbei Vonwea Old Clinic ",,"Gbei Vonwea ",1461,3
33059,"Gblanlay Public School ",,"Gblanlay ",767,2
33065,"Gbonwea (Old Town) Public School ",,"Gbonwea (Old Town) ",1002,3
33067,"Beo-Yoolar Public School ",,"Beo-Yoolar ",958,2
33068,"Gborplay Public School ",,"Gborplay ",406,1
33102,"Lowlay Public School ",,"Lowlay ",680,2
33104,"Korsein Public School ",,"Korsein ",1022,3
33105,"Kpaglay Public School ",,"Kpaglay ",653,2
33106,"Kpair High School ",,"Kpairplay ",1091,3
33119,"Ghanaglay Public School ",,"Ghanaglay ",1186,3
33122,"Mahdiaplay Public School ",,"Mahdiaplay #1 ",1013,3
33142,"Payee Palava Hut ",,"Payee ",690,2
33143,"Rlantuo Public School ",,"Rlantuo ",599,2
33144,"Rlekporlay Public School ",,"Rlekporlay ",835,2
33157,"Senlay Public School ",,"Senlay ",1138,3
33158,"Siaplay Old Town Public School ",,"Siaplay Old Town ",882,2
33177,"Vayenglay Public School ",,"Vayenglay ",1200,3
33179,"Wehplay Public School ",,"Wehplay ",1151,3
33213,"Zuoplay Public School ",,"Zuoplay ",1437,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 5 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33007,"Beadatuo Public School ",,"Beadatuo ",1706,4
33009,"Beeplay Public School ",,"Beeplay ",1404,3
33013,"Glarlay Public School ",,"Glarlay ",1652,4
33015,"Blemieplay Public School ",,"Blemieplay ",1476,3
33025,"Buutuo Public School ",,"Nyor Buutuo ",1942,4
33027,"Butuo Public School ",,"Butuo ",1636,4
33030,"Frolay Public School ",,"Frolay ",1596,4
33031,"Dinplay Public School ",,"Dinplay ",1660,4
33046,"Gbanwea Public School ",,"Gbanwea ",1268,3
33083,"Glarlay Public School ",,"Glarlay New Town ",1714,4
33088,"Gomahplay Public School ",,"Gomahplay ",1489,3
33139,"Lepula Public School ",,"Lepula ",1358,3
33140,"Nyarlay Public School ",,"Nyarlay ",1419,3
33160,"Tanwea Public School ",,"Tanwea ",711,2
33165,"Teahplay Public School ",,"Teahplay ",964,2
33166,"Tiaplay Public School ",,"Tiaplay ",1008,3
33208,"Zuaplay Public School ",,"Zuaplay ",779,2
33209,"Gbloulay Public School ",,"Gbloulay ",1533,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 6 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33008,"Beatuo Public School ",,"Beatuo ",828,2
33020,"Bonglay Public School ",,"Bonglay ",1556,4
33034,"Dubuzon Public School ",,"Dubuzon ",484,1
33036,"Kpiablee Public School ",,"Kpiablee ",899,2
33043,"Zodru Public School ",,"Zodru ",915,2
33044,"Behwalay Public School ",,"Behwalay ",901,2
33048,"Greanpea Public School ",,"Greanpea ",839,2
33049,"Gbarplay Public School ",,"Gbarplay ",934,2
33061,"Gblor Dialah Public School ",,"Gblor Dialah ",1494,3
33101,"Kaylay Public School ",,"Kaylay ",496,1
33115,"Kwipea Public School ",,"Kwipea ",487,1
33117,"Lauplay Public School ",,"Lauplay ",1712,4
33125,"Zuatuo Public School ",,"Zuatuo ",1572,4
33153,"Sarlay Public School ",,"Sarlay ",1150,3
33161,"Tappita Public Works Yard ",,"Tappita ",1243,3
33162,"Tappita Memorial School ",,"Tappita ",2240,5
33163,"Tappita Civil Compound ",,"Tappita ",2996,7
33171,"Toweh Public School ",,"Toweh ",1866,4
33176,"Vahnplay Public School ",,"Vahnplay ",753,2
33190,"New Yourpea Public School ",,"New Yourpea ",872,2
33191,"Old Yourpea Public School ",,"Old Yourpea ",853,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 7 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33001,"Waymon Jr. High School ",,"Bahn ",1565,4
33002,"Bahn High School ",,"Bahn ",1154,3
33003,"Karyea Palava Hut ",,"Bahn ",1808,4
33011,"Behyepea Public School ",,"Behyepea ",967,2
33023,"Buanplay Public School ",,"Buanplay ",736,2
33037,"Garwonpa Public School ",,"Garwonpa ",1052,3
33045,"Gbanquoi Public School ",,"Gbanquoi ",1271,3
33058,"Gblah Public School ",,"Gblah ",1399,3
33092,"Guawin Palava Hut ",,"Guawin ",895,2
33108,"Kpaytuo Public School ",,"Kpaytuo ",1739,4
33120,"Loyee Public School ",,"Loyee ",1116,3
33123,"Mehnpa Public School ",,"Mehnpa ",806,2
33127,"Miaplay Bonnah Public School ",,"Miaplay Bonnah ",1613,4
33138,"Kpowin Public School ",,"Kpowin ",600,2
33150,"Saclepea S.D. Palava Hut ",,"Saclepea ",1821,4
33151,"Saclepea Johnny Voka School ",,"Saclepea ",2540,6
33152,"Saclepea Civil Compound ",,"Saclepea ",3590,8
33172,"Bleevalay Public School ",,"Bleevalay ",463,1
33173,"Troupoe Palava Hut ",,"Troupoe ",1001,3
33196,"Zayglay Public School ",,"Zayglay ",955,2
33202,"Duowin Palava Hut ",,"Duowin ",1553,4
33205,"Zontuo S.D.A. School ",,"Zontuo ",945,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :NIMBA ",,"ELECTORAL DISTRICT : 8 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
33004,"Banakpallah Public School ",,"Banakpallah ",1042,3
33005,"Banlah Public School ",,"Banlah ",1079,3
33014,"Sehwee Palava Hut ",,"Sehwee ",1051,3
33016,"Zahnboie Public School ",,"Zahnboie ",844,2
33024,"Bunadin Public School ",,"Bunadin ",1557,4
33038,"Flumpa Public School ",,"Flumpa ",2201,5
